,path_or_url,file,line,text
0,/k8s-skaffold/skaffold,/mnt/data/service-shop/service-Shop/cloudbuild.yaml,30,name: 'gcr.io/k8s-skaffold/skaffold:v2.14.1'
1,/v3,/mnt/data/service-shop/service-Shop/skaffold.yaml,15,apiVersion: skaffold/v3
2,/amd64,/mnt/data/service-shop/service-Shop/skaffold.yaml,20,"platforms: [""linux/amd64"", ""linux/arm64""]"
3,/arm64,/mnt/data/service-shop/service-Shop/skaffold.yaml,20,"platforms: [""linux/amd64"", ""linux/arm64""]"
4,https://skaffold.dev/docs/concepts/#image-repository-handling,/mnt/data/service-shop/service-Shop/skaffold.yaml,25,# https://skaffold.dev/docs/concepts/#image-repository-handling
5,/emailservice,/mnt/data/service-shop/service-Shop/skaffold.yaml,27,context: src/emailservice
6,/productcatalogservice,/mnt/data/service-shop/service-Shop/skaffold.yaml,29,context: src/productcatalogservice
7,/recommendationservice,/mnt/data/service-shop/service-Shop/skaffold.yaml,31,context: src/recommendationservice
8,/shoppingassistantservice,/mnt/data/service-shop/service-Shop/skaffold.yaml,33,context: src/shoppingassistantservice
9,/shippingservice,/mnt/data/service-shop/service-Shop/skaffold.yaml,35,context: src/shippingservice
10,/checkoutservice,/mnt/data/service-shop/service-Shop/skaffold.yaml,37,context: src/checkoutservice
11,/paymentservice,/mnt/data/service-shop/service-Shop/skaffold.yaml,39,context: src/paymentservice
12,/currencyservice,/mnt/data/service-shop/service-Shop/skaffold.yaml,41,context: src/currencyservice
13,/cartservice/src,/mnt/data/service-shop/service-Shop/skaffold.yaml,43,context: src/cartservice/src
14,/frontend,/mnt/data/service-shop/service-Shop/skaffold.yaml,47,context: src/frontend
15,/adservice,/mnt/data/service-shop/service-Shop/skaffold.yaml,49,context: src/adservice
16,/build/artifacts/7/docker/dockerfile,/mnt/data/service-shop/service-Shop/skaffold.yaml,85,path: /build/artifacts/7/docker/dockerfile
17,/manifests/kustomize/paths/1,/mnt/data/service-shop/service-Shop/skaffold.yaml,93,path: /manifests/kustomize/paths/1
18,/components/network-policies,/mnt/data/service-shop/service-Shop/skaffold.yaml,94,value: kustomize/components/network-policies
22,/loadgenerator,/mnt/data/service-shop/service-Shop/skaffold.yaml,107,context: src/loadgenerator
23,/kubernetes-manifests/loadgenerator,/mnt/data/service-shop/service-Shop/skaffold.yaml,113,- ./kubernetes-manifests/loadgenerator.yaml
24,/v1alpha3,/mnt/data/service-shop/service-Shop/istio-manifests/frontend-gateway.yaml,15,apiVersion: networking.istio.io/v1alpha3
26,/v1alpha3,/mnt/data/service-shop/service-Shop/istio-manifests/allow-egress-googleapis.yaml,15,apiVersion: networking.istio.io/v1alpha3
28,/v1alpha3,/mnt/data/service-shop/service-Shop/istio-manifests/frontend.yaml,15,apiVersion: networking.istio.io/v1alpha3
29,/creds,/mnt/data/service-shop/service-Shop/.deploystack/test.yaml,21,"args: ['-c','echo $$CREDS > .deploystack/creds.json']"
30,/cloudshell-images/cloudshell,/mnt/data/service-shop/service-Shop/.deploystack/test.yaml,23,- name: 'gcr.io/cloudshell-images/cloudshell:latest'
31,/test,/mnt/data/service-shop/service-Shop/.deploystack/test.yaml,25,args: [ '.deploystack/test' ]
32,/secrets/creds/versions/latest,/mnt/data/service-shop/service-Shop/.deploystack/test.yaml,32,- versionName: projects/$PROJECT_ID/secrets/creds/versions/latest
33,/secrets/billing_account/versions/latest,/mnt/data/service-shop/service-Shop/.deploystack/test.yaml,34,- versionName: projects/$PROJECT_ID/secrets/billing_account/versions/latest
34,/kustomize/,/mnt/data/service-shop/service-Shop/.deploystack/deploystack.yaml,11,filepath_manifest: ../kustomize/
35,https://cloud.google.com/shell/docs/cloud-shell-tutorials/deploystack/microservices-demo,/mnt/data/service-shop/service-Shop/.deploystack/deploystack.yaml,15,documentation_link: https://cloud.google.com/shell/docs/cloud-shell-tutorials/deploystack/microservices-demo
36,/v1,/mnt/data/service-shop/service-Shop/kubernetes-manifests/emailservice.yaml,15,apiVersion: apps/v1
37,/v1,/mnt/data/service-shop/service-Shop/kubernetes-manifests/checkoutservice.yaml,15,apiVersion: apps/v1
38,/v1,/mnt/data/service-shop/service-Shop/kubernetes-manifests/recommendationservice.yaml,15,apiVersion: apps/v1
39,/v1beta1,/mnt/data/service-shop/service-Shop/kubernetes-manifests/kustomization.yaml,15,apiVersion: kustomize.config.k8s.io/v1beta1
40,/kustomize/components/cymbal-branding,/mnt/data/service-shop/service-Shop/kubernetes-manifests/kustomization.yaml,30,# - ../kustomize/components/cymbal-branding
41,/kustomize/components/google-cloud-operations,/mnt/data/service-shop/service-Shop/kubernetes-manifests/kustomization.yaml,31,# - ../kustomize/components/google-cloud-operations
42,/kustomize/components/memorystore,/mnt/data/service-shop/service-Shop/kubernetes-manifests/kustomization.yaml,32,# - ../kustomize/components/memorystore
43,/kustomize/components/network-policies,/mnt/data/service-shop/service-Shop/kubernetes-manifests/kustomization.yaml,33,# - ../kustomize/components/network-policies
44,/kustomize/components/alloydb,/mnt/data/service-shop/service-Shop/kubernetes-manifests/kustomization.yaml,34,# - ../kustomize/components/alloydb
45,/kustomize/components/shopping-assistant,/mnt/data/service-shop/service-Shop/kubernetes-manifests/kustomization.yaml,35,# - ../kustomize/components/shopping-assistant
46,/kustomize/components/spanner,/mnt/data/service-shop/service-Shop/kubernetes-manifests/kustomization.yaml,36,# - ../kustomize/components/spanner
47,/kustomize/components/container-images-tag,/mnt/data/service-shop/service-Shop/kubernetes-manifests/kustomization.yaml,37,# - ../kustomize/components/container-images-tag
48,/kustomize/components/container-images-tag-suffix,/mnt/data/service-shop/service-Shop/kubernetes-manifests/kustomization.yaml,38,# - ../kustomize/components/container-images-tag-suffix
49,/kustomize/components/container-images-registry,/mnt/data/service-shop/service-Shop/kubernetes-manifests/kustomization.yaml,39,# - ../kustomize/components/container-images-registry
50,/v1,/mnt/data/service-shop/service-Shop/kubernetes-manifests/frontend.yaml,15,apiVersion: apps/v1
51,/rewriteAppHTTPProbers,/mnt/data/service-shop/service-Shop/kubernetes-manifests/frontend.yaml,30,"sidecar.istio.io/rewriteAppHTTPProbers: ""true"""
52,/_healthz,/mnt/data/service-shop/service-Shop/kubernetes-manifests/frontend.yaml,53,"path: ""/_healthz"""
54,/v1,/mnt/data/service-shop/service-Shop/kubernetes-manifests/paymentservice.yaml,15,apiVersion: apps/v1
55,/v1,/mnt/data/service-shop/service-Shop/kubernetes-manifests/productcatalogservice.yaml,15,apiVersion: apps/v1
56,/v1,/mnt/data/service-shop/service-Shop/kubernetes-manifests/cartservice.yaml,15,apiVersion: apps/v1
58,/data,/mnt/data/service-shop/service-Shop/kubernetes-manifests/cartservice.yaml,130,- mountPath: /data
59,/v1,/mnt/data/service-shop/service-Shop/kubernetes-manifests/loadgenerator.yaml,14,apiVersion: apps/v1
60,/rewriteAppHTTPProbers,/mnt/data/service-shop/service-Shop/kubernetes-manifests/loadgenerator.yaml,30,"sidecar.istio.io/rewriteAppHTTPProbers: ""true"""
61,/bin/sh,/mnt/data/service-shop/service-Shop/kubernetes-manifests/loadgenerator.yaml,42,- /bin/sh
62,http://${FRONTEND_ADDR},/mnt/data/service-shop/service-Shop/kubernetes-manifests/loadgenerator.yaml,49,STATUSCODE=$(wget --server-response http://${FRONTEND_ADDR} 2>&1 | awk '/^  HTTP/{print $2}')
63,/v1,/mnt/data/service-shop/service-Shop/kubernetes-manifests/currencyservice.yaml,15,apiVersion: apps/v1
64,/v1,/mnt/data/service-shop/service-Shop/kubernetes-manifests/shippingservice.yaml,15,apiVersion: apps/v1
65,/v1,/mnt/data/service-shop/service-Shop/kubernetes-manifests/adservice.yaml,15,apiVersion: apps/v1
66,/v1beta1,/mnt/data/service-shop/service-Shop/release/istio-manifests.yaml,21,apiVersion: gateway.networking.k8s.io/v1beta1
68,/v1alpha3,/mnt/data/service-shop/service-Shop/release/istio-manifests.yaml,50,apiVersion: networking.istio.io/v1alpha3
71,/v1,/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,21,apiVersion: apps/v1
72,/google-samples/microservices-demo/emailservice,/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,52,image: us-central1-docker.pkg.dev/google-samples/microservices-demo/emailservice:v0.10.3
74,/google-samples/microservices-demo/checkoutservice,/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,126,image: us-central1-docker.pkg.dev/google-samples/microservices-demo/checkoutservice:v0.10.3
76,/google-samples/microservices-demo/recommendationservice,/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,209,image: us-central1-docker.pkg.dev/google-samples/microservices-demo/recommendationservice:v0.10.3
78,/rewriteAppHTTPProbers,/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,270,"sidecar.istio.io/rewriteAppHTTPProbers: ""true"""
79,/google-samples/microservices-demo/frontend,/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,287,image: us-central1-docker.pkg.dev/google-samples/microservices-demo/frontend:v0.10.3
80,/_healthz,/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,293,"path: ""/_healthz"""
83,/google-samples/microservices-demo/paymentservice,/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,414,image: us-central1-docker.pkg.dev/google-samples/microservices-demo/paymentservice:v0.10.3
85,/google-samples/microservices-demo/productcatalogservice,/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,487,image: us-central1-docker.pkg.dev/google-samples/microservices-demo/productcatalogservice:v0.10.3
87,/google-samples/microservices-demo/cartservice,/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,560,image: us-central1-docker.pkg.dev/google-samples/microservices-demo/cartservice:v0.10.3
89,/data,/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,644,- mountPath: /data
92,/bin/sh,/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,700,- /bin/sh
93,http://${FRONTEND_ADDR},/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,707,STATUSCODE=$(wget --server-response http://${FRONTEND_ADDR} 2>&1 | awk '/^  HTTP/{print $2}')
94,/google-samples/microservices-demo/loadgenerator,/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,738,image: us-central1-docker.pkg.dev/google-samples/microservices-demo/loadgenerator:v0.10.3
96,/google-samples/microservices-demo/currencyservice,/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,790,image: us-central1-docker.pkg.dev/google-samples/microservices-demo/currencyservice:v0.10.3
98,/google-samples/microservices-demo/shippingservice,/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,863,image: us-central1-docker.pkg.dev/google-samples/microservices-demo/shippingservice:v0.10.3
100,/google-samples/microservices-demo/adservice,/mnt/data/service-shop/service-Shop/release/kubernetes-manifests.yaml,937,image: us-central1-docker.pkg.dev/google-samples/microservices-demo/adservice:v0.10.3
101,https://semver.org/),/mnt/data/service-shop/service-Shop/helm-chart/Chart.yaml,31,# Versions are expected to follow Semantic Versioning (https://semver.org/)
102,/google-samples/microservices-demo,/mnt/data/service-shop/service-Shop/helm-chart/values.yaml,20,repository: us-central1-docker.pkg.dev/google-samples/microservices-demo
103,https://github.com/GoogleCloudPlatform/microservices-demo/tree/main/kustomize/components/shopping-assistant,/mnt/data/service-shop/service-Shop/helm-chart/values.yaml,217,# https://github.com/GoogleCloudPlatform/microservices-demo/tree/main/kustomize/components/shopping-assistant
104,/v1,/mnt/data/service-shop/service-Shop/helm-chart/templates/opentelemetry-collector.yaml,30,apiVersion: apps/v1
105,https://cloud.google.com/compute/docs/storing-retrieving-metadata,/mnt/data/service-shop/service-Shop/helm-chart/templates/opentelemetry-collector.yaml,65,# https://cloud.google.com/compute/docs/storing-retrieving-metadata
106,/bin/sh,/mnt/data/service-shop/service-Shop/helm-chart/templates/opentelemetry-collector.yaml,76,- '/bin/sh'
107,/PROJECT_ID/,/mnt/data/service-shop/service-Shop/helm-chart/templates/opentelemetry-collector.yaml,79,"sed ""s/PROJECT_ID/$(curl -H 'Metadata-Flavor: Google' http://metadata.google.internal/computeMetadata/v1/project/project-id)/"" /template/collector-gateway-config-template.yaml >> /conf/collector-gateway-config.yaml"
108,http://metadata.google.internal/computeMetadata/v1/project/project-id)/,/mnt/data/service-shop/service-Shop/helm-chart/templates/opentelemetry-collector.yaml,79,"sed ""s/PROJECT_ID/$(curl -H 'Metadata-Flavor: Google' http://metadata.google.internal/computeMetadata/v1/project/project-id)/"" /template/collector-gateway-config-template.yaml >> /conf/collector-gateway-config.yaml"
109,/template/collector-gateway-config-template,/mnt/data/service-shop/service-Shop/helm-chart/templates/opentelemetry-collector.yaml,79,"sed ""s/PROJECT_ID/$(curl -H 'Metadata-Flavor: Google' http://metadata.google.internal/computeMetadata/v1/project/project-id)/"" /template/collector-gateway-config-template.yaml >> /conf/collector-gateway-config.yaml"
110,/conf/collector-gateway-config,/mnt/data/service-shop/service-Shop/helm-chart/templates/opentelemetry-collector.yaml,79,"sed ""s/PROJECT_ID/$(curl -H 'Metadata-Flavor: Google' http://metadata.google.internal/computeMetadata/v1/project/project-id)/"" /template/collector-gateway-config-template.yaml >> /conf/collector-gateway-config.yaml"
111,/template,/mnt/data/service-shop/service-Shop/helm-chart/templates/opentelemetry-collector.yaml,82,mountPath: /template
112,/conf,/mnt/data/service-shop/service-Shop/helm-chart/templates/opentelemetry-collector.yaml,84,mountPath: /conf
114,/opentelemetry-collector-contrib,/mnt/data/service-shop/service-Shop/helm-chart/templates/opentelemetry-collector.yaml,99,image: otel/opentelemetry-collector-contrib:0.129.1@sha256:4798e3095561ac8ae13a81965088d68b943b1991bbeede91b1564e12c95372cc
116,https://opentelemetry.io/docs/collector/configuration/,/mnt/data/service-shop/service-Shop/helm-chart/templates/opentelemetry-collector.yaml,136,# https://opentelemetry.io/docs/collector/configuration/
118,/v1beta1,/mnt/data/service-shop/service-Shop/helm-chart/templates/opentelemetry-collector.yaml,214,apiVersion: networking.istio.io/v1beta1
120,/ns/,/mnt/data/service-shop/service-Shop/helm-chart/templates/opentelemetry-collector.yaml,243,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.adService.name }}
121,/sa/,/mnt/data/service-shop/service-Shop/helm-chart/templates/opentelemetry-collector.yaml,243,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.adService.name }}
143,/sa/default,/mnt/data/service-shop/service-Shop/helm-chart/templates/opentelemetry-collector.yaml,255,- cluster.local/ns/{{ .Release.Namespace }}/sa/default
144,/v1,/mnt/data/service-shop/service-Shop/helm-chart/templates/emailservice.yaml,30,apiVersion: apps/v1
146,/v1beta1,/mnt/data/service-shop/service-Shop/helm-chart/templates/emailservice.yaml,145,apiVersion: networking.istio.io/v1beta1
