,path_or_url,file,line,text
0,/log-server,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.logging.yml,15,image: weaveworksdemos/log-server
1,/prometheus,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.monitoring.yml,5,image: prom/prometheus
3,/etc/prometheus/prometheus,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.monitoring.yml,8,- ./prometheus.yml:/etc/prometheus/prometheus.yml
4,/alert,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.monitoring.yml,9,- ./alert.rules:/etc/prometheus/alert.rules
5,/etc/prometheus/alert,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.monitoring.yml,9,- ./alert.rules:/etc/prometheus/alert.rules
8,/usr/share/prometheus/console_libraries,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.monitoring.yml,13,- '--web.console.libraries=/usr/share/prometheus/console_libraries'
9,/usr/share/prometheus/consoles,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.monitoring.yml,14,- '--web.console.templates=/usr/share/prometheus/consoles'
10,/prometheus/node-exporter,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.monitoring.yml,22,image: quay.io/prometheus/node-exporter:v1.1.2
11,/host,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.monitoring.yml,25,"- '/:/host:ro,rslave'"
13,/alertmanager,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.monitoring.yml,33,image: prom/alertmanager
15,/etc/alertmanager/config,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.monitoring.yml,37,- ./alertmanager.yml:/etc/alertmanager/config.yml
18,/grafana,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.monitoring.yml,42,image: grafana/grafana
19,/tiny-tools,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.monitoring.yml,53,image: giantswarm/tiny-tools
20,/bin/sh,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.monitoring.yml,56,entrypoint: /bin/sh import.sh
21,/opt/grafana-import-dashboards,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.monitoring.yml,57,working_dir: /opt/grafana-import-dashboards
24,/front-end,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.yml,5,image: weaveworksdemos/front-end:0.3.12
25,/edge-router,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.yml,12,image: weaveworksdemos/edge-router:0.1.1
26,/var/run,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.yml,26,"- /var/run:rw,noexec,nosuid"
27,/catalogue,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.yml,30,image: weaveworksdemos/catalogue:0.3.5
28,/catalogue-db,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.yml,39,image: weaveworksdemos/catalogue-db:0.3.0
29,/carts,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.yml,47,image: weaveworksdemos/carts:0.4.8
30,/tmp,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.yml,56,"- /tmp:rw,noexec,nosuid"
31,/dev/urandom,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.yml,58,- JAVA_OPTS=-Xms64m -Xmx128m -XX:+UseG1GC -Djava.security.egd=file:/dev/urandom -Dspring.zipkin.enabled=false
33,/orders,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.yml,73,image: weaveworksdemos/orders:0.4.7
37,/shipping,/mnt/data/sock-shop/microservices-demo/deploy/docker-compose/docker-compose.yml,99,image: weaveworksdemos/shipping:0.4.8
