,method,path,file
0,GET,abstract/{id:[0-9][0-9]*},/mnt/data/TeaStore/TeaStore/utilities/tools.descartes.teastore.registryclient/src/main/java/tools/descartes/teastore/registryclient/util/AbstractCRUDEndpoint.java
1,GET,abstract,/mnt/data/TeaStore/TeaStore/utilities/tools.descartes.teastore.registryclient/src/main/java/tools/descartes/teastore/registryclient/util/AbstractCRUDEndpoint.java
2,POST,abstract,/mnt/data/TeaStore/TeaStore/utilities/tools.descartes.teastore.registryclient/src/main/java/tools/descartes/teastore/registryclient/util/AbstractCRUDEndpoint.java
3,PUT,abstract/{id:[0-9][0-9]*},/mnt/data/TeaStore/TeaStore/utilities/tools.descartes.teastore.registryclient/src/main/java/tools/descartes/teastore/registryclient/util/AbstractCRUDEndpoint.java
4,DELETE,abstract/{id:[0-9][0-9]*},/mnt/data/TeaStore/TeaStore/utilities/tools.descartes.teastore.registryclient/src/main/java/tools/descartes/teastore/registryclient/util/AbstractCRUDEndpoint.java
5,GET,ready/isready,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.webui/src/main/java/tools/descartes/teastore/webui/rest/ReadyRest.java
6,POST,recommend,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/rest/RecommendEndpoint.java
7,POST,recommendsingle,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/rest/RecommendSingleEndpoint.java
8,GET,train,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/rest/TrainEndpoint.java
9,GET,train/timestamp,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/rest/TrainEndpoint.java
10,GET,train/isready,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/rest/TrainEndpoint.java
11,GET,generatedb,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/DatabaseGenerationEndpoint.java
12,GET,generatedb/finished,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/DatabaseGenerationEndpoint.java
13,GET,generatedb/maintenance,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/DatabaseGenerationEndpoint.java
14,POST,generatedb/maintenance,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/DatabaseGenerationEndpoint.java
15,GET,products/category/{category:[0-9][0-9]*},/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/ProductEndpoint.java
16,GET,products/count/{category:[0-9][0-9]*},/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/ProductEndpoint.java
17,DELETE,cache/class/{class},/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/CacheManagerEndpoint.java
18,DELETE,cache/cache,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/CacheManagerEndpoint.java
19,DELETE,cache/emf,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/CacheManagerEndpoint.java
20,GET,users/name/{name},/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/UserEndpoint.java
21,GET,orderitems/product/{product:[0-9][0-9]*},/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/OrderItemEndpoint.java
22,GET,orderitems/order/{order:[0-9][0-9]*},/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/OrderItemEndpoint.java
23,GET,orders/user/{user:[0-9][0-9]*},/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/OrderEndpoint.java
24,GET,services/{name},/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.registry/src/main/java/tools/descartes/teastore/registry/rest/RegistryREST.java
25,PUT,services/{name}/{location},/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.registry/src/main/java/tools/descartes/teastore/registry/rest/RegistryREST.java
26,DELETE,services/{name}/{location},/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.registry/src/main/java/tools/descartes/teastore/registry/rest/RegistryREST.java
27,GET,image/regenerateImages,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/rest/ImageProviderEndpoint.java
28,GET,image/finished,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/rest/ImageProviderEndpoint.java
29,GET,image/state,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/rest/ImageProviderEndpoint.java
30,POST,image/getProductImages,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/rest/ImageProviderEndpoint.java
31,POST,image/getWebImages,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/rest/ImageProviderEndpoint.java
32,POST,image/setCacheSize,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/rest/ImageProviderEndpoint.java
33,POST,cart/add/{pid},/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/rest/AuthCartRest.java
34,POST,cart/remove/{pid},/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/rest/AuthCartRest.java
35,PUT,cart/{pid},/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/rest/AuthCartRest.java
36,POST,useractions/placeorder,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/rest/AuthUserActionsRest.java
37,POST,useractions/login,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/rest/AuthUserActionsRest.java
38,POST,useractions/logout,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/rest/AuthUserActionsRest.java
39,POST,useractions/isloggedin,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/rest/AuthUserActionsRest.java
40,GET,ready/isready,/mnt/data/TeaStore/TeaStore/services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/rest/ReadyRest.java
