,method,path,file
0,GET,api/v1/contactservice,/mnt/data/train-ticket/train-ticket/ts-contacts-service/src/main/java/contacts/controller/ContactsController.java
4,POST,api/v1/contactservice,/mnt/data/train-ticket/train-ticket/ts-contacts-service/src/main/java/contacts/controller/ContactsController.java
6,PUT,api/v1/contactservice,/mnt/data/train-ticket/train-ticket/ts-contacts-service/src/main/java/contacts/controller/ContactsController.java
7,DELETE,api/v1/contactservice,/mnt/data/train-ticket/train-ticket/ts-contacts-service/src/main/java/contacts/controller/ContactsController.java
8,GET,/api/v1/adminuserservice/users,/mnt/data/train-ticket/train-ticket/ts-admin-user-service/src/main/java/adminuser/controller/AdminUserController.java
10,POST,/api/v1/adminuserservice/users,/mnt/data/train-ticket/train-ticket/ts-admin-user-service/src/main/java/adminuser/controller/AdminUserController.java
11,PUT,/api/v1/adminuserservice/users,/mnt/data/train-ticket/train-ticket/ts-admin-user-service/src/main/java/adminuser/controller/AdminUserController.java
12,DELETE,/api/v1/adminuserservice/users,/mnt/data/train-ticket/train-ticket/ts-admin-user-service/src/main/java/adminuser/controller/AdminUserController.java
13,GET,/api/v1/notifyservice,/mnt/data/train-ticket/train-ticket/ts-notification-service/src/main/java/notification/controller/NotificationController.java
14,GET,/api/v1/notifyservice/test_send_mq,/mnt/data/train-ticket/train-ticket/ts-notification-service/src/main/java/notification/controller/NotificationController.java
15,GET,/api/v1/notifyservice/test_send_mail,/mnt/data/train-ticket/train-ticket/ts-notification-service/src/main/java/notification/controller/NotificationController.java
16,POST,/api/v1/notifyservice,/mnt/data/train-ticket/train-ticket/ts-notification-service/src/main/java/notification/controller/NotificationController.java
20,GET,/api/v1/cancelservice,/mnt/data/train-ticket/train-ticket/ts-cancel-service/src/main/java/cancel/controller/CancelController.java
23,GET,api/v1/configservice,/mnt/data/train-ticket/train-ticket/ts-config-service/src/main/java/config/controller/ConfigController.java
26,POST,api/v1/configservice,/mnt/data/train-ticket/train-ticket/ts-config-service/src/main/java/config/controller/ConfigController.java
